Регион|Способ продажи|Цена|Вид объекта|Адрес|Площадь|Контакт менеджера|Документы к лоту|Презентация|Описание|Кадастровый номер|Ссылка на объявление
Киров|Открытый английский аукцион|1 147 500 ₽|Дома, коттеджи| Кировская обл., Оричевский р-н, дер. Сивая|2 100 м²|ФИО: Агеева Ирина Георгиевна, тел:+7(831)419-81-84|https://auction-house.ru/catalog/l-30000109545/document-archive/| |Жилой дом - 170,1 кв. м, земельный участок - 2 100 кв. м, адрес: Кировская обл., Оричевский р-н, дер. Сивая, 2-этажный, кадастровые номера 43:24:070407:172, 43:24:070407:109, земли населенных пунктов - для ведения личного подсобного хозяйства, ограничения и обременения: ограничения прав на земельный участок, предусмотренные статьями 56, 56.1 Земельного кодекса РФ, имеются зарегистрированные лица в жилом помещении|43:24:070407:172|https://auction-house.ru/catalog/l-30000109545/
Ульяновск|Открытый английский аукцион|3 726 796 ₽|Имущественные комплексы| Ульяновская обл., р-н Карсунский, р.п. Языково, ул. Цветкова, 1-В|74 975 м²|ФИО: Соболькова Елена, тел:8 (927) 2081534|https://auction-house.ru/catalog/l-30000114463/document-archive/| |Земельный участок, назначение: данные отсутствуют, виды разрешенного использования: для общественно деловых целей (под размещение производственных объектов), площадь 74975 кв. м, кадастровый номер 73:05:030115:32, расположенный по адресу: Ульяновская обл., р-н Карсунский, р.п. Языково, ул. Цветкова, 1-В. Ограничение (обременение) Лота №1: не зарегистрировано.|73:05:030115:32|https://auction-house.ru/catalog/l-30000114463/
Ульяновск|Открытый английский аукцион|104 580.50 ₽|Дома, коттеджи| Ульяновская обл., Чердаклинский р-н, с. Крестово-Городище, ул. Мира, д. 21|2 921.80 м²|ФИО: Соболькова Елена, тел:8 (927) 2081534|https://auction-house.ru/catalog/l-30000110940/document-archive/| |1/2 доли в праве собственности на жилой дом - 16,8 кв. м, адрес: Ульяновская обл., р-н. Чердаклинский, с. Крестово Городище, ул. Мира, д. 21, 1/2 доли в праве собственности на земельный участок - 2 905 +/- 3 кв. м, адрес: установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: обл. Ульяновская, р-н Чердаклинский, с. Крестово-Городище, ул. Мира 21, 1 этажный, кадастровые номера 73:21:240225:82, 73:21:240225:8, земли населенных пунктов - для индивидуального жилищного строительства и ведения личного подсобного хозяйства, ограничения и обременения: зарегистрирован 1 человек, проживающие лица отсутствуют|73:21:240225:82|https://auction-house.ru/catalog/l-30000110940/
Пермь|Открытый английский аукцион|94 500 ₽|Земельные участки| 617611, Пермский край, Кишертский р-н, Рогозино д, дом 1|3 420 м²|ФИО: Шеронова Татьяна Николаевна, тел:+7(831)419-81-83|https://auction-house.ru/catalog/l-30000107282/document-archive/| |Земельный участок площадью 3 420,0 кв.м, расположенный по адресу: Пермский край, Кишертский р-н, д. Рогозино, кадастровый номер: 59:22:0060101:6, категорий земель: земли населенный пунктов, виды разрешенного использования: для ведения личного подсобного хозяйства.|59:22:0060101:6|https://auction-house.ru/catalog/l-30000107282/
Екатеринбург|Продажа посредством публичного предложения|505 065.05 ₽|Отдельно стоящие здания| Свердловская обл. г.Лесной ул.Строителей д.10|315 м²|ФИО: Корник Анна Владимировна, тел:79923100710|https://auction-house.ru/catalog/l-30000115077/document-archive/| |"Предлагаем нежилое здание - 277,2 кв. м, земельный участок - 315+/-6 кв. м, адрес: Свердловская обл., городской округ ""Лесной"", г. Лесной, ул. Строителей д. 10, неотделимые улучшения, имущество (216 поз.), кадастровые номера 66:54:0112004:790, 66:54:0112004:86, земли населенных пунктов - предназначенные для размещения административных и офисных зданий, объектов образования, науки, здравоохранения и социального обеспечения, физической культуры и спорта, культуры, искусства, религии, ограничения и обременения: для заключения договора купли-продажи требуется согласование допуска  к участию в совершении сделки  с недвижимостью на территории закрытого административно-территориального образования «Город Лесной» от ФГУП «Комбинат Электрохимприбор» (Росатом). Здание расположено у кольцевой дороги, в центре г. Лесной, на пересечение ул. Строителей и ул. Сиротина. Окружающая застройка  жилые дома, объекты социальной инфраструктуры, плотность застройки  высокая.  Месторасположение с удобной транспортной доступностью.  Инженерные коммуникации: отопление, водоснабжение, электричество, вентиляция, канализация. Выполнена стандартная внутренняя отделка помещений (натяжной потолок армстронг, кафель, плитка, обои под покраску). Состояние объекта хорошее. Имеется отдельная входная группа. Возможные варианты использования объекта: офисное, торговое помещение и тд. Реализация имущества осуществляется в рамках процедуры банкротства на торгах посредством публичного предложения в соответствии с ФЗ-127 «О НЕСОСТОЯТЕЛЬНОСТИ (БАНКРОТСТВЕ)». ЭТП АО РАД lot-online. "|66:54:0112004:790|https://auction-house.ru/catalog/l-30000115077/
Екатеринбург|Продажа посредством публичного предложения|51 552.94 ₽|Отдельно стоящие здания| Свердловская область|1 251 м²|ФИО: Корник Анна Владимировна, тел:79923100710|https://auction-house.ru/catalog/l-30000115078/document-archive/| |"Предлагаем хозяйственное строение или сооружение (строение или сооружение вспомогательного использования) - 182,6 кв. м, земельный участок - 1 251 кв. м, адрес: Свердловская обл., г. Качканар, п. Валериановск, ул. Первомайская, на участке №2г, кадастровые номера 66:48:0201002:1018, 66:48:0201002:252, земли населенных пунктов - индивидуальное жилищное строительство, в отношении земельного участка имеются ограничения прав, предусмотренные статьями 56, 56.1 Земельного кодекса РФ. Объект выставлен по поручению ГК ""Агентство по страхованию вкладов"". "|66:48:0201002:1018|https://auction-house.ru/catalog/l-30000115078/
Казань|Продажа посредством публичного предложения|571 361.88 ₽|Отдельно стоящие здания| Республика Татарстан, г. Чистополь, ул. Загородная, 49-И|11 001.30 м²|ФИО: Шакая Леван Станиславович, тел:+7920-051-0841|https://auction-house.ru/catalog/l-30000109423/document-archive/| |Имущество по адресу - РТ, г. Чистополь, ул. Загородная, строен. 49-И (з/у 49И): Нежилое здание площадью 2833 кв. м., КН 16:54:010102:1426; Земельный участок площадью 8168,3 +/- 31,6 кв. м., КН 16:54:160202:132, вид разрешенного использования: под промышленные предприятия.|16:54:010102:1426|https://auction-house.ru/catalog/l-30000109423/
Казань|Открытый английский аукцион|32 424 020.10 ₽|Земельные участки| Республика Татарстан, г. Казань, Вахитовский район, ул. Саид-Галеева. |4 597 м²|ФИО: Шакая Леван Станиславович, тел:+7920-051-0841|https://auction-house.ru/catalog/l-30000111690/document-archive/| |Земельный участок площадью 4 597 кв. м., категория земель: земли населенных пунктов, вид разрешенного использования: данные отсутствуют, кадастровый №16:50:011903:25, адрес: установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, г. Казань, Вахитовский район, ул. Саид-Галеева. Ограничения прав и обременение земельного участка: ограничения прав, предусмотренные статьями 56, 56.1 Земельного кодекса РФ.|16:50:011903:25|https://auction-house.ru/catalog/l-30000111690/
Москва|Открытый английский аукцион|753 059 373.30 ₽|Имущественные комплексы| Москва, ул. Академика Челомея, д. 5, корп. А|отсутсвует|ФИО: Орлов Артур Станиславович, тел:+79851719057|https://auction-house.ru/catalog/l-30000094920/document-archive/| |Продается имущественный комплекс, расположенный на ул. Академика Челомея.Имущественный комплекс имеет потенциал развития как объект офисного назначения, как комплекс апартаментов, либо объект редевелопмента с возможностью строительства жилья. Имущественный комплекс включает в себя объекты недвижимости (здания/ сооружения) административного назначения, которые представляют собой:Обременения/ограничения, а также имущественные, в том числе, судебные споры: отсутствуют. Объект принадлежит Продавцу на праве собственности, о чем в Едином государственном реестре недвижимости сделана запись от 14.02.2005 № 77-01/06-1122/2004-611. Обременения/ограничения, а также имущественные, в том числе, судебные споры: отсутствуют.Объект принадлежит Продавцу на праве собственности, о чем в Едином государственном реестре недвижимости сделана запись от 27.07.2005 № 77-77-06/002/2005-48.Обременения/ограничения, а также имущественные, в том числе, судебные споры: отсутствуют.Объект принадлежит Продавцу на праве собственности, о чем в Едином государственном реестре недвижимости сделана запись от 21.01.2005 № 77-01/06-40/2004-1126.Обременения/ограничения: не зарегистрированы.Судебные споры по делу № А40-278901/2018 о признании объекта самовольной постройкой, признанием отсутствия на него права собственности, с обязательством снести и освободить земельный участок.Объект принадлежит Продавцу на праве собственности, о чем в Едином государственном реестре недвижимости сделана запись от 14.02.2005 № 77-01/06-1122/2004-659.Обременения/ограничения: не зарегистрированы.Судебные споры по делу № А40-278901/2018 о признании объекта самовольной постройкой, признанием отсутствия на него права собственности, с обязательством снести и освободить земельный участок.Объект принадлежит Продавцу на праве собственности, о чем в Едином государственном реестре недвижимости сделана запись от 14.02.2005 № 77-01/06-1122/2004-617.Обременения/ограничения: не зарегистрированы. Судебные споры по делу № А40-278901/2018 о признании объекта самовольной постройкой, признанием отсутствия на него права собственности, с обязательством снести и освободить земельный участок.Объект принадлежит Продавцу на праве собственности, о чем в Едином государственном реестре недвижимости сделана запись от 14.02.2005 № 77-01/06-1122/2004-615. Недвижимое имущество расположено на земельном участке с кадастровым номером 77:06:0003015:71, площадью 9 935 кв. м, относящемся к землям населённых пунктов, с видом разрешенного использования: объекты размещения коммерческих организаций, не связанных с проживанием населения (1.2.7); объекты размещения помещений и технических устройств многоэтажных и подземных гаражей, стоянок (1.2.3), представленном Продавцу в аренду сроком по 18.09.2028 на основании договора аренды земельного участка с множественностью лиц на стороне арендатора от 31.08.2004 № М-06-022760 (в редакции дополнительного соглашения от 15.08.2005 № М-06-0227601/1), заключенного между ПАО «ФСК ЕЭС» и Департаментом земельных ресурсов города Москвы, о чем в Едином государственном реестре недвижимости сделана запись о государственной регистрации от 03.11.2004 № 77-01/05-13/2004-145. Соарендатором по условиям договора является Гаражно-строительный кооператив «Меркурий», в пользование которого представлен земельный участок для эксплуатации части здания под подземный гараж. Факторами инвестиционной привлекательности объекта являются:  ​​​Потенциал: с учетом расположения и локации Объект имеет высокий потенциал в качестве офисного здания, в том числе гибкие офисы (co-working). Текущая ставка аренды на офисные помещения в данной локации составляют от 19 000 до 23 000 руб. за кв. м в год. |77:06:0003015:71|https://auction-house.ru/catalog/l-30000094920/
Москва|Продажа посредством публичного предложения|13 042 610.64 ₽|Земельные участки| Москва, поселение Сосенское, дер. Бачурино, уч. 308а|1 948.30 м²|ФИО: Иванов Андрей Анатольевич, тел:+79197750101|https://auction-house.ru/catalog/l-30000106952/document-archive/| |Продается земельный участок площадью 1 500 кв.м., расположенный в Новой Москве. КН:  50:21:0120316:1015.  Земли населенных пунктов, вид разрешенного использования: для ведения личного подсобного хозяйства.  На земельном участке расположен недостроенный 2-х этажный жилой дом (кирпичное строение с незакрытым строительным контуром) площадью 448,3 кв.м. КН: 77:17:0120316:686. Транспортная доступность:  удобный подъезд по Калужскому шоссе. 3,5 км от МКАД.В транспортной доступности расположена станция метро: «Коммунарка».   Преимущества: объект характеризуется прекрасной транспортной доступностью за счет близости его расположения к Москве и станции метро «Коммунарка», Калужскому шоссе и  МКАД. Подъезд к домовладению осуществляется с Калужского шоссе. Близость к Москве, возможность московской прописки, развитая инфраструктура района Коммунарки делают данный объект перспективным приобретением и для личного использования, и с инвестиционными целями. |50:21:0120316:1015|https://auction-house.ru/catalog/l-30000106952/
